Level,Region,PLHIV(All sexes),HIV Prevelance(All sexes),Incidence (per 1000),Deaths(All),New Infections,PMTCT Need,PMTCT Receiving
Subcounty,Ainabkoi ,8705,6.67,1.08,184,139,351,280
Subcounty,Ainamoi ,13928,9.13,2.1,295,296,218,160
Subcounty,Aldai ,2423,1.56,0.3,50,49,111,47
Subcounty,Alego Usonga ,19115,8.86,0.69,245,150,991,1008
Subcounty,Athi River ,20947,6.41,0.6,314,189,249,197
Subcounty,Awendo ,16823,15.78,1.59,217,162,485,447
Subcounty,Balambala ,55,0.19,0.03,3,2,3,1
Subcounty,Banissa ,258,0.22,0.05,12,14,15,1
County,Baringo,8666,1.57,0.33,180,193,325,197
Subcounty,Baringo Central ,1948,2.45,0.54,41,44,60,34
Subcounty,Baringo North ,910,1.05,0.24,19,21,39,19
Subcounty,Belgut ,1887,1.47,0.37,40,47,81,49
Subcounty,Bobasi ,5156,2.57,0.24,66,48,180,145
Subcounty,Bomachoge Borabu ,4024,3.03,0.3,52,39,129,110
Subcounty,Bomachoge Chache ,1271,1.52,0.16,16,13,106,67
County,Bomet,15003,1.98,0.39,313,307,607,496
Subcounty,Bomet Central ,2377,1.56,0.29,50,45,170,110
Subcounty,Bomet East ,3481,2.76,0.56,72,70,144,134
Subcounty,Bonchari ,4948,3.62,0.32,64,43,114,95
Subcounty,Bondo ,21444,11.35,0.94,277,174,1072,968
Subcounty,Borabu ,1651,2.21,0.2,21,15,87,63
Subcounty,Bumula ,2884,1.45,0.18,41,41,199,126
County,Bungoma,27347,1.78,0.2,393,355,1887,1131
Subcounty,Bunyala ,4508,5.69,0.45,66,43,231,202
Subcounty,Bura ,1183,1.22,0.16,18,16,56,40
Subcounty,Bureti ,4391,2.43,0.46,92,85,189,123
County,Busia,40960,5.03,0.61,600,508,1389,1138
Subcounty,Butere ,2407,1.63,0.15,34,26,197,138
Subcounty,Butula ,5038,3.87,0.32,72,52,202,180
Subcounty,Buuri East ,1504,1.96,0.22,22,17,40,37
Subcounty,Buuri West ,1738,2.13,0.09,22,20,86,32
Subcounty,Changamwe ,12194,9.14,1.16,190,137,335,314
Subcounty,Chepalungu ,2354,1.65,0.29,49,45,96,104
Subcounty,Cheptais ,1151,0.91,0.11,16,16,90,44
Subcounty,Cherangany ,5238,2.66,0.48,107,99,154,108
Subcounty,Chesumei ,2821,1.92,0.38,59,56,111,71
Subcounty,Chuka ,1473,1.58,0.15,21,14,60,51
Subcounty,Dadaab ,143,0.04,0.01,7,5,1,1
Subcounty,Dagoretti North ,13973,13.48,2.2,103,163,108,410
Subcounty,Dagoretti South ,2729,2.22,0.6,19,60,52,156
Subcounty,East Pokot ,132,0.2,0.04,3,3,8,3
Subcounty,Eldas ,49,0.06,0.01,2,2,1,0
County,Elgeyo-Marakwet,7290,1.86,0.36,152,149,294,180
Subcounty,Embakasi Central ,3035,2.69,0.58,22,53,137,543
Subcounty,Embakasi East ,5685,4.13,0.89,42,97,165,448
Subcounty,Embakasi North ,3282,4.27,1.1,24,65,135,514
Subcounty,Embakasi South ,4394,2.73,0.73,32,93,81,195
Subcounty,Embakasi West ,5562,4.44,1.21,41,117,45,185
County,Embu,9560,1.5,0.14,143,91,339,282
Subcounty,Emgwen ,4701,3.55,0.64,98,86,194,110
Subcounty,Emuhaya ,2372,2.57,0.24,34,24,120,93
Subcounty,Endebess ,1255,1.31,0.26,26,26,146,85
Subcounty,Fafi ,330,0.15,0.02,17,11,3,1
Subcounty,Galole ,355,0.48,0.07,5,5,59,15
Subcounty,Ganze ,10570,6.69,0.71,161,119,70,48
Subcounty,Garbatulla ,314,0.38,0.04,5,4,31,30
County,Garissa,1895,0.19,0.03,97,71,114,69
Subcounty,Garissa ,973,0.65,0.1,50,37,91,56
Subcounty,Garsen ,434,0.46,0.05,6,5,43,36
Subcounty,Gatanga ,2265,1.13,0.05,30,11,45,47
Subcounty,Gatundu North ,2445,2.11,0.12,33,16,66,63
Subcounty,Gatundu South ,1460,1.13,0.07,19,10,100,73
Subcounty,Gem ,17487,10.13,0.82,224,139,850,753
Subcounty,Gilgil ,7003,4.02,0.71,145,126,173,136
Subcounty,Githunguri ,2694,1.54,0.11,36,20,86,70
Subcounty,Hamisi ,3592,2.34,0.19,51,35,247,140
County,Homa Bay,109786,10.57,0.93,1404,984,5500,5089
Subcounty,Homa Bay Town ,14676,13.69,1.29,188,134,745,618
Subcounty,Hulugho ,41,0.03,0.01,2,2,2,1
Subcounty,Igambangombe ,1079,1.99,0.19,16,10,18,14
Subcounty,Igembe Central ,1470,0.67,0.19,28,18,18,10
Subcounty,Igembe North ,1241,0.73,0.2,31,12,39,26
Subcounty,Igembe South ,3005,1.85,0.07,18,32,50,33
Subcounty,Ijara ,177,0.14,0.02,9,7,5,5
Subcounty,Ikolomani ,4241,4.05,0.36,61,45,152,140
Subcounty,Imenti Central ,3160,2.38,0.25,25,34,44,23
Subcounty,Imenti North ,3656,2.05,0.26,47,40,103,44
Subcounty,Imenti South ,5808,2.81,0.27,86,56,132,106
County,Isiolo,1541,0.7,0.1,22,23,253,121
Subcounty,Isiolo ,998,0.9,0.12,14,14,154,88
Subcounty,Jomvu ,9419,5.72,0.66,146,105,211,163
Subcounty,Juja ,5755,1.79,0.12,77,42,122,106
Subcounty,Kabete ,2391,1.13,0.08,32,19,86,52
Subcounty,Kabondo Kasipul ,10475,9.45,0.81,135,95,479,439
Subcounty,Kabuchai ,2669,1.63,0.19,38,36,207,130
Subcounty,Kaiti ,1908,1.54,0.19,28,22,41,34
County,Kajiado,25746,2.5,0.51,535,538,1294,777
Subcounty,Kajiado Central ,2475,1.67,0.39,52,60,159,85
Subcounty,Kajiado East ,7970,3.15,0.66,165,169,502,280
Subcounty,Kajiado North ,6405,2.28,0.44,134,129,344,217
Subcounty,Kajiado West ,2027,1.17,0.27,41,47,78,41
County,Kakamega,51067,2.91,0.29,735,580,2423,1726
Subcounty,Kalama ,1123,2.04,0.23,16,12,12,8
Subcounty,Kaloleni ,3350,1.83,0.22,51,41,225,170
Subcounty,Kamukunji ,5968,4.59,0.93,44,96,172,403
Subcounty,Kandara ,1117,0.6,0.03,15,6,52,55
Subcounty,Kanduyi ,7592,2.88,0.33,110,98,510,307
Subcounty,Kangema ,1061,1.24,0.06,14,6,32,27
Subcounty,Kangundo ,1804,1.8,0.19,27,19,48,55
Subcounty,Kapseret ,7544,3.83,0.82,158,157,134,112
Subcounty,Karachuonyo ,19803,12.06,1.08,251,176,799,792
Subcounty,Kasarani ,3537,2,0.53,26,75,145,407
Subcounty,Kathiani ,2930,2.57,0.23,43,27,34,36
Subcounty,Keiyo North ,2200,2.56,0.48,46,44,78,59
Subcounty,Keiyo South ,3440,3.33,0.64,72,70,62,42
County,Kericho,26639,3.3,0.71,561,571,748,495
Subcounty,Kesses ,3834,2.99,0.56,80,71,84,55
Subcounty,Khwisero ,5130,4.8,0.39,74,50,184,156
Subcounty,Kiambaa ,6833,2.74,0.23,92,58,138,132
County,Kiambu,53718,2.1,0.15,718,397,1649,1348
Subcounty,Kiambu Town ,2834,1.84,0.11,38,19,125,108
Subcounty,Kibish ,272,0.85,0.18,5,6,22,11
Subcounty,Kibra ,2663,3.18,0.74,20,48,140,595
Subcounty,Kibwezi East ,3220,2.29,0.21,48,29,139,121
Subcounty,Kibwezi West ,4923,2.55,0.24,72,45,140,156
Subcounty,Kieni East ,3124,2.52,0.1,42,14,42,47
Subcounty,Kieni West ,1870,1.89,0.08,25,9,23,29
Subcounty,Kigumo ,1769,1.22,0.06,24,10,58,49
Subcounty,Kiharu ,4369,2.07,0.1,58,23,83,90
